,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
10, on 01/14/18 08:23 AM (PST),Jamie ,2017 Nissan Altima  2.5 SL 4dr Sedan (2.5L 4cyl CVT),Cheap expensive car," Great car. Lots of tech. Plenty of power. Great gas mileage. Is it as good as a Lexus, Infinity or Mercedes? Probably not. Is it $40K to $60K less good? Definitely not. You get a very quiet, spacious comfortable car with plenty of pickup and all the features for $25K instead of $65K to $85K. Check it out.",5
11, on 01/07/18 16:00 PM (PST),M. Ryan ,2017 Nissan Altima  2.5 S 4dr Sedan (2.5L 4cyl CVT),"Comfortable car, but terrible transmission!!"," I received this car brand new (as a new company vehicle), and have now driven it for 7 months and 7k miles.  I'm trying to be as objective as possible here, but I would HIGHLY encourage anyone considering this vehicle to 1) lease it only, or 2) if you purchase it, sell it before the warranty expires because I can guarantee that you will be replacing the transmission between 60,000 and 100k miles (this is a factual statement based on my years of experience working in the auto industry, and frequent experience in dealing with people who own late model Nissan vehicles with failed CVT transmissions - which is what this car has).  If you don't believe me about the CVT transmission issues, please Google ""Nissan CVT transmission problems"" before buying this car.  There are thousands of complaints at ConsumerAffairs.com regarding Nissan CVT transmissions, and Nissan settled a class-action lawsuit that covered all 2007 to 2010 models (but the problem continues since no significant changes were made to their CVT transmissions following the law suit).  Also, if you buy this car please make sure to budget about $4000 to cover the cost of transmission replacement every 60k to 100K miles.  The problem is so bad that the 2017 Nissan owners manual no longer even recommends a transmission oil change.  The CVT transmission in this car primarily consists of two variable pulleys connected by a metal belt that constantly grinds against the sides of the pulleys to creates friction (and thereby drive the car forward).  As you can imagine, this is a poor and unreliable method of designing a transmission, but it saves money, weight, and results in slightly better fuel economy than a regular transmission.  As you drive, the transmission feels like it's constantly slipping (which it is).  The only time this car feels ""normal"" is on a flat, open highway at a constant speed with no wind and a light load.  At all other times, the transmission feels like it will survive another 5 miles it it before complete failure.  And that leads me to my next point.  This transmission usually fails without warning, often leaving owners in dangerous situations (imagine it failing on a busy Interstate Highway while you're driving to work, or have your kids in the car).  Never, in a hundred years, would I recommend this car to ANYONE - and anyone with half a brain (or at least some basic automotive knowledge) would not purchase this car due to the well documented history of Nissan CVT transmission problems.   There are some positives to this car (however), including very comfortable front seats, a very good driving position, very good gas mileage (30-31 mpg in mixed driving, and about 38 on the open highway), a well tuned suspension, very good brakes, and a well designed instrument panel and ergonomics.  Unfortunately I cannot (to anyone) recommend this vehicle due to the CVT transmission issue.  Hopefully Nissan listens to its customers and develops a proper 6 to 8 speed automatic transmission (like Toyota, GM, or Ford).  If they did, I would consider this to be a good overall vehicle and a good value.",2
12, on 12/29/17 21:06 PM (PST),john ,2017 Nissan Altima  2.5 S 4dr Sedan (2.5L 4cyl CVT),cvt trans is crap. miss lead on horse power, Transmission has many problems. The trans is not a good brand they use. I been told by many transmission shops they all say they are garbage. U cant fix a cvt transmission u can only replace it. The rpms r not right it runs way higher than it shows on the gauge. Always need to update car to see if it fixes problem.  DO NOT BUY. PURE GARBAGE. LOOK UP THEIR TRANSMISSION HISTORY ON NISSAN OF AMERICA. NOT GOOD.,1
13, on 12/26/17 14:51 PM (PST),Bobd. ,2017 Nissan Altima  2.5 S 4dr Sedan (2.5L 4cyl CVT),Good car," Replacement for 2004 Altima with 187k. Instrumentation is hard to get used to, esp. speedometer dial.After 7 months, have gotten used to all the instrumentation!On the Interstate, as a careful driver (i.e. - an egg under my foot), I'm getting 48 mpg.  Currently around town, as a conservative driver, I'm getting 40-42 mpg.",5
14, on 12/08/17 00:47 AM (PST),Paul chaw ,2017 Nissan Altima  3.5 SR w/Prod. End 06/17 4dr Sedan (3.5L 6cyl CVT),Awesome!!!!," Very comfortable car to drive and also fun, does have a nice sporty look to it.",5
15, on 12/05/17 17:43 PM (PST),david hernandez ,2017 Nissan Altima  3.5 SR w/Prod. End 06/17 4dr Sedan (3.5L 6cyl CVT),Awesome Car!!!," This vehicle performs really well, It does drive very smooth and really good on gas and this is a 3.5 v6",5
16, on 11/26/17 11:40 AM (PST),Beverly mccain ,2017 Nissan Altima  2.5 SR 4dr Sedan (2.5L 4cyl CVT),What an awesome car! I'm in love!," I am a Nissan girl. I have had 3 Maximas and was a little hesitant moving to the Altima. I was not disappointed at all, in fact I was greatly surprised with hjow much I love this car. It has just about everything my old Maxima had! Plus some extra stuff I didn't have!",5
17, on 11/05/17 10:13 AM (PST),Sammy ,2017 Nissan Altima  2.5 SR 4dr Sedan (2.5L 4cyl CVT),Best car in it's class, Beautiful great looking car with quick acceleration and great fuel economy.,5
18, on 10/27/17 09:44 AM (PDT),Bob ,2017 Nissan Altima  3.5 SL 4dr Sedan (3.5L 6cyl CVT),A Best Buy," I bought the Altima 3.5SL which includes virtually all Altima options including V6 engine, leather, heated seats, Bose sound, navigation, radar warnings, smart cruise control which brakes the car automatically, plus upgraded trim and bigger tires.  The acceleration is great, almost like driving my prior Maximas (4), but better gas mileage, and the seats are more comfortable.  I got about 1/3 off ($10,000) the list price which convinced me to buy it rather than a comparable, new Maxima.  I think its styling is better than comparable Camry or Accord.  I'm an industrial designer and mechanical engineer.",5
19, on 10/15/17 11:48 AM (PDT),Kelsie ,2017 Nissan Altima  2.5 SR 4dr Sedan (2.5L 4cyl CVT),Nice car!," This car is sporty looking gets a lot of attention, I love the wheels, great on gas, very roomy. This is coming from a person who previously owned a Dodge Dart small compact car but I have to say this gets better gas mileage than my old car.",5
20, on 10/08/17 13:18 PM (PDT),Sammy ,2017 Nissan Altima  2.5 SR 4dr Sedan (2.5L 4cyl CVT),Awesome., It's a great looking car and drives great too.,5
21, on 08/13/17 09:25 AM (PDT),Laura Goodwin ,2017 Nissan Altima  2.5 SL w/Prod. End 06/17 4dr Sedan (2.5L 4cyl CVT),It just fits me!," This car just fits me.  It feels right.  It's comfy, great on gas, sleek styling, great bluetooth and easy to handle.  It's the right amount of ooh factor while still being a smart financial choice.  I leased a 2014 SV model and loved it.  I bought this SL because I knew I would continue to love it after 3 years.",5
22, on 08/07/17 19:31 PM (PDT),Kevin Ray ,2017 Nissan Altima  3.5 SL 4dr Sedan (3.5L 6cyl CVT),Built for speeding tickets!," When accelerating pay close attention to the speedometer, you go from 0-Mach50 in seconds.   It's hard to go the speed limit. But it does get great mpg and great for having children and car seats.    Built for highway not country roads",4
23, on 06/21/17 03:52 AM (PDT),CDR ,2017 Nissan Altima  2.5 S 4dr Sedan (2.5L 4cyl CVT),Altima continues its legacy of excellence," VST transmission takes some ""getting used to"" if you're accustomed to traditional automatics.  It doesn't ""shift"" when you think it should, but actually its doing it seamlessly.  Other than that (which isn't truly a detractor) this Altima is still the best dollar-for-dollar value in a mid-size sedan.  Built in the USA, the craftsmanship, quality, reliability and economy of this almost 40MPG sedan is excellent.  Got mine for just $17,600 - yes, to get this you still have to know how to negotiate sales with actual team members at the dealership, but it can be done.",5
24, on 06/05/17 08:24 AM (PDT),Immi B. ,2017 Nissan Altima  2.5 S w/Prod. End 06/17 4dr Sedan (2.5L 4cyl CVT),2017 ALTIMA 2.5 s," I have always loved every model of the Altima. I think that I have had every model from 1995 to the 1999 to the 2017!! Nissan gets better & better. I adore my new Altima, it has everything that I am looking for and more. It handles the road flawlessly and the design is sleek. It catches a lot of eyes and I am happy to show it off!",5
25, on 06/03/17 06:54 AM (PDT),Bruce B ,2017 Nissan Altima  2.5 SV w/Prod. End 06/17 4dr Sedan (2.5L 4cyl CVT),Review of Altima SV," The SV model has pretty much all the features of the SL except leather. If you're not a fan of leather seats but want all the other toys, this is the car for you. Replaced a prior Altima after 13 years. Love the car and love the deal. They worked to our budget and did not try to oversell.",5
26, on 05/04/17 08:46 AM (PDT),Greg Mims ,2017 Nissan Altima  2.5 SR w/Prod. End 06/17 4dr Sedan (2.5L 4cyl CVT),2017 Altima SR," Added a remote start at purchase. Changed stock radio to a Kenwood navigation. The SR looks the best of the trims. The 18 inch wheels make the car look larger. The interior can be upgraded to leather, heated, air conditioned etc. if that's what you want. But the stock interior is very comfortable. We purchased from Dick Smith Nissan in SC. Got a great deal.",5
27, on 04/10/17 07:55 AM (PDT),Harrison W ,2017 Nissan Altima  2.5 SR w/Prod. End 06/17 4dr Sedan (2.5L 4cyl CVT),Best value of any car I've ever bought," For the money, this is the best equipped and most fun-to-drive car I've ever owned.  Might be partially attributed to my recent experience (driving a Prius for a couple of years), but this car feels luxurious, quiet and powerful, especially considering the price point.  The SR is very stylish and sporty looking - spoiler, dual exhaust, upscale alloy wheels, dark tinted glass, manual shifters on the steering column (but automatic transmission primary) - but fuel economy is as good as an econobox.  The ride is truly outstanding, barely a notch below the Lexus ES350 I owned a few years ago at not much more than half the price!  I have owned 3 Maximas in my life and this car is every bit as much fun to drive as any of them.  I am admittedly a bit partial to Nissan since I live in the Nashville, TN area where their US headquarters is located, but would never settle for second-best just out of loyalty.  Would recommend anyone considering an economical, comfortable and fun mid-sized sedan to try out this car!!!",5
28, on 03/06/17 11:17 AM (PST),Al ,2017 Nissan Altima  2.5 SR w/Prod. End 06/17 4dr Sedan (2.5L 4cyl CVT),2017 Altima 2.5 SR review, Traded  in a 2013 Camry Le for this Altima. Best decision ever. The  Altima is  way  more comfortable  in drivers seating  comfort and handles way better on turns and on the highway. Do not listen to online video reviews for this car from people who driven the car for 5 minutes. I am a sales rep and put many miles on the car each day. SR trim  looks great and you wont regret buying one.,5
29, on 02/07/17 07:52 AM (PST),Chris rizzuto ,2017 Nissan Altima  2.5 SV w/Prod. End 06/17 4dr Sedan (2.5L 4cyl CVT),Great car, Best car for your money.,4
30, on 01/25/17 13:56 PM (PST),bill regan ,2017 Nissan Altima  2.5 S w/Prod. End 06/17 4dr Sedan (2.5L 4cyl CVT),First Altim Lasted 17 years...heres to another 17+," Do your research then when you get back to the Altima for all the right reasons, go to Jim M'Lady Dealership in Crystal Lake Il, the Midwests largest volume dealer.  Ask for Sales Rep Scott Ryan if you dont use the Internet route to get pricing.  Great deal, great guy, no pressure, easy to do business with all from Finance Manager, Sales Manaager, and Customer Care Manager, all easy going, friendly supportive folks. They even introduced me to the Service Manager.  If you are a Veteran be sure to sign the Vets Poster by the Service dept if you purchase the car...Jim M'Lady is a Marine Corp vet, played football on the Marine team and supports Veterans in the area.  They offer free lifetime car washes and oil changes and have had the car washed 3 times already so its real folks.  The Altima is a dream to drive and own---we owned one for 17 years before we bought this one, so we already know quality and longevity is on our side with this Make and Model.  Dont waste time looking at toyota and hondas, they're too much more money and Altima offers more upgrades for free, and you cant beat this dealers deal, and lifetime car washes and oil changes.  Very Happy Customer.",5
31, on 01/04/17 08:17 AM (PST),Shawn ,2017 Nissan Altima  2.5 S w/Prod. End 06/17 4dr Sedan (2.5L 4cyl CVT),"Comfortable, all the power I need"," Leased a 2017 Altima 2.5s, the car is super comfortable to drive with the plush seating. Easily enough power to drive in any condition, uphill, passing, highway merging, no problem. Suspension is awesome and a nice quiet ride. Safety rating is 5 star. [non-permissible content removed]",5
32, on 09/14/18 11:04 AM (PDT),Howard Mostyn-Brown ,2016 Nissan Altima  2.5 S 4dr Sedan (2.5L 4cyl CVT),Confident and Comfortable, I really like my Altima. I will say the interior was downgraded from the 2014 year model. Had wood like trim that has been replaced with black and silver appearance. Beyond that I love the comfort. Seats are great. We took a 2000 mile trip and never felt uncomfortable. Gas mileage is terrific.  On the highways close to 40 mpg. My lease is almost up and I plan on getting another Altima.,4
33, on 05/25/18 13:09 PM (PDT),Jerry ,2016 Nissan Altima  2.5 4dr Sedan (2.5L 4cyl CVT),CVT, CVT stopped pulling at 62095 miles. Factory warranty stops at 60000. Many of these transmissions have gone out. Why after a decade of Nissan CVT's are these not more reliable? overall car is okay. Transmissions make me rethink purchasing another in the future.,3
34, on 04/26/18 10:47 AM (PDT),HarveyWB ,2016 Nissan Altima  2.5 SV 4dr Sedan (2.5L 4cyl CVT),Picked Up a 2016 SV 2.5 in March 2018," We picked up a lightly used 2016 (3,000 miles) on 3/4/2018 for $17,180 including Nissan Platinum and GAP Insurance (they stuck it to us a bit on those two). I would have liked to get the 3.5, but this is a commuter for my wife, 52 miles a day. Our 2008 Durango was killing us at 12 MPG, but this is great at 26 to 30 MPG, essentially cutting our gas bill in half or better. Plus I get the Durango back, which has 10 months an 6,500 miles left on it's warranty. I only do about 250 - 300 miles with it a month, so we're running 2 cars with a gas bill smaller than before. We have 30,500 miles and 24 months left on the Altima's Bumper to Bumper Warranty and 72 months and 94,500 miles left on the powertrain warranty, so I'm comfortable with ""Reliability"". Thinking about selling the Durango in the Fall with 4 months/4,000 miles left on the warranty and picking up an SR or an SL 3.5 for myself.",4
35, on 02/15/18 10:56 AM (PST),Tyler B ,2016 Nissan Altima  2.5 SR 4dr Sedan (2.5L 4cyl CVT),Not how a new car should treat you.," This was our first new Nissan. I've dabbled in older models with no real issues. However this has been a pretty unpleasant experience. On the surface the SR model is nice, what it lacks in the driver assists and tech it makes up for in fairly striking appearance with the SR package. Blue accented interior, paddle shifters, 18in wheels. Its a nice looking car. However the 2.5 and more importantly the CVT trans are slugs. And worse than that, within 10k miles the MAF sensor went out. And as i write this review at 28k the transmission has failed completely. Please be mindful about buying these new Nissans, we have a 2015 Mazda 3 and that is a solid well made car. Probably getting a CX5 next!",2
36, on 02/13/18 16:59 PM (PST),Goldenboy ,2016 Nissan Altima  2.5 SL 4dr Sedan (2.5L 4cyl CVT),Driving an Altima, This is the sixth Altima I have owned in the last few years.  They are great cars to drive.  Very sporty and lots of technology.,5
37, on 02/06/18 08:20 AM (PST),Dash ,2016 Nissan Altima  2.5 S 4dr Sedan (2.5L 4cyl CVT),Not for snowy conditions, When considering purchasing this vehicle be aware that you may not have a vehicle to use if it snows.  The Altima is by far the worse car we have ever owned for driving in the snow.  We attempted to get new tires but the guy at the tire store told us it would not make a difference.  I have owned many cars and this one is the worse and we are stuck in it because the value went down by half in just over a year!,3
38, on 02/01/18 21:53 PM (PST),Rg ,2016 Nissan Altima  2.5 4dr Sedan (2.5L 4cyl CVT),Transmission went out at 51k," Transmission went out on a car that is a year and a half old with only 51,000 miles is just unacceptable. I will not purchase another Nissan due to junk cvt transmissions.",2
39, on 01/13/18 20:20 PM (PST),Cody ,2016 Nissan Altima  2.5 S 4dr Sedan (2.5L 4cyl CVT),Headache," 2016 nissan altima s purchased on September 2017 with 33,000 miles owning this car for only 3 months i have allready encountered multiple problems like bad oxeygen sensors,mass air flow sensor,tps sensor. And just recently my transmission went out with only 35,000 miles on odometer this is the car from hell i do not recommend buying a nissan altima",2
40, on 01/13/18 19:24 PM (PST),STEVEN POWE ,2016 Nissan Altima  2.5 4dr Sedan (2.5L 4cyl CVT),Overall of the car, Don’t buy a Nissan Altima . Break problems every other month and my transmission went out on a 2016 in one year and friend on mines 6 months . Absolutely do not buy this car . You will regret it.,1
41, on 10/23/17 10:57 AM (PDT),wes ,2016 Nissan Altima  2.5 SR 4dr Sedan (2.5L 4cyl CVT),Super fun and comfy!," Just clocked 40,000 miles and still drives like a dream.",5
42, on 10/04/17 14:20 PM (PDT),Pokodok ,2016 Nissan Altima  2.5 SV 4dr Sedan (2.5L 4cyl CVT),Stay away from Nissan Altima 2016, I had the 2016 for a little over a year and have had to take it to the dealer 4 times already because the check engine light turns on. Finally the car got a transmission problem where it had to be replaced. During this time I got a rental Nissan Altima and the check engine light turn on on the 5th day. These cars are junk.,1
43, on 10/03/17 11:58 AM (PDT),Will ,2016 Nissan Altima  2.5 S 4dr Sedan (2.5L 4cyl CVT),Awesome bang for you buck," I was driving an Xterra and got tired of fueling it up so often. I also needed something that my ageing mother could get in and out of with ease. I bought my 2016 2.5 S a year and a half ago, and it currently has 14,800 miles on it. I had custom wheels put on it to set it apart from all the other 2.5 S's out there.  The gas mileage is unbelievable. I'm averaging 30 mpg in town and have gotten 41 mpg on the highway. This car is comfortable. I was concerned about comfort because I a big guy, 6'2"" 300 lbs. I've never felt cramped in this car. It's pretty zippy and handles well. It does sit pretty low. The air-conditioning and heat are great. The stereo is ok. The Bluetooth and voice commands seem to be a miss. It takes a bit for my phone to connect and hands free calling rarely works for me, no matter how clearly I say someone's name. I'd like a place to stash my phone, other than the cup holders. Over all I'm very satisfied with my little red Altima",5
44, on 09/23/17 12:18 PM (PDT),Kathy Crume ,2016 Nissan Altima  2.5 S 4dr Sedan (2.5L 4cyl CVT),"Do not buy this car ""2016 Altima""", 4 Times something in this car is draining the battery.  I've had the car jumped and or towed to the dealer with a DEAD battery.  They replaced the battery once.  The  new battery was also drained twice.  Dealer can not identify the problem.   Now I have a new car that is not reliable.    UGH!   SORRY I EVER PURCHASED THIS LEMON.,1
45, on 09/04/17 10:30 AM (PDT),Sam ,2016 Nissan Altima  3.5 SR 4dr Sedan (3.5L 6cyl CVT),Stay away from the Altima 3.5 SR," When I purchased this car it was like driving a pocket rocket....loved it!  I took it to the dealer, for maintenance, and when they gave it back to me it didn't have any of the acceleration anymore.  I've been trying to work with Nissan and their dealers to get it back to my ""original"" experience.  Most dealer techs acknowledge that it doesn't perform the way a 3.5 SR should be performing; acceleration, handling, etc., but will only tell me that it's operating within specs.  The problem is, it seems that the dealers have (at most) only received one of these models so they're not familiar with the difference of having a 6 cylinder versus a 4 cylinder under the hood.  I don't know what to do, but would warn anyone thinking of purchasing the 3.5 SR....don't.  You may think you're buying that ""pocket rocket"", but after the dealer hooks it up to their diagnostics, you'll be driving the 2.5 version.",2
46, on 08/29/17 11:14 AM (PDT),Joseph C ,2016 Nissan Altima  2.5 SR 4dr Sedan (2.5L 4cyl CVT),DO NOT BUY 2016 Nissan Altima SR," The car has paint issues on the front bumper. The front bumper has been painted once before and again the paint is flaking off. The rear passenger side door does not open from the inside or outside of the car. The transmission is bad at less then 17,000 miles and less then 1 year on the road.",2
47, on 07/07/17 20:23 PM (PDT),jethro ,2016 Nissan Altima  2.5 S 4dr Sedan (2.5L 4cyl CVT),The road noise is unbearable!," Rented this car for a short while, and it literally gave me a headache every time I drove it. Unfortunately the road/tire noise resonated on the inside of the car, and this was especially evident on rough road surfaces, patched areas, and seams. It's very unfortunate since the seat comfort and interior features are top notch. I would recommend that owners of this car pull up all carpeting, and install sound deadener material everywhere possible! While I'm on a rant, the car is too long, and will not fit in my garage. The only positive for me was the great gas mileage.",3
48, on 06/22/17 08:30 AM (PDT),Stephanie ,2016 Nissan Altima  2.5 SL 4dr Sedan (2.5L 4cyl CVT),Love this car!," This is a spacious, comfortable sedan that handles great and has truly excellent fuel economy. The technology features are outstanding and very user friendly. I honestly love everything about this car. I've had it for about a month, and no complaints to report. Accelerates well off of stops, doesn't feel cramped with passengers, and has ample trunk space. I had a great experience with the Nissan dealer that I worked with to purchase the car, and will be taking it back to them for routine maintenance like oil changes and such. This car gets better gas mileage than my old hybrid! This has been a fantastic car so far for commuting, but would be very comfortable for longer trips as well. Would definitely recommend the Nissan Altima.",5
49, on 04/29/17 08:29 AM (PDT),Richard Brosseau ,2016 Nissan Altima  2.5 SV 4dr Sedan (2.5L 4cyl CVT),Eight Nissans  in a Row," March 30, 2017, I purchased my NEW 2016 Altima SV Sedan from Morlan Nissan in Dexter, MO. Since 1969, this is my eighth Nissan in a row (two Sentras and six Altimas). My main reason for staying with Nissan cars is their reliability. Over the years, I have several owned vehicles from each of the big three manufacturers and seven cars built  by Japan's largest manufacturer. In have found my eight Nissans to be the most reliable, trouble free cars that I have owned.  My 1997 Altima had gone more than 130,000 miles without any problems, when I traded it for a new 2001 Altima. In 2010, we gave it to our son, who drove it for four years, without any problems, except normal maintenance. When he traded it, the car had more than 150,000 miles on the dometer. I am now 76 years old and retired on Social Security. My wife and I were looking for a new vehicle that would last us through our retirement years, so when we found this new 2016 leftover at Morlan Nissan, the dealership made us an offer we could not resist.",5
50, on 03/26/17 11:40 AM (PDT),Michael S. ,2016 Nissan Altima  2.5 4dr Sedan (2.5L 4cyl CVT),Much better options on the market than this car," I recently rented the Altima and drive it for 5 days.  I will start with the good parts of the car.  The CVT transmission is smooth and the engine power is adequate.  The trunk size is a decent and seats were ok for long drives.  The fuel mileage was excellent.  Now for the negatives.  The interior of the car is just cheap.  There are lots of hard plastics everywhere.  The nobs feel cheap, and I don't see it holding up.  The driving dynamics of the car was horrible.  I felt that I had to always make corrections going down a straight highway.  The transitions badly needs to be reprogrammed as it always feel like it is in too high of a gear at lower speeds which makes the engine on the verge of stall.  I am sure this was done to drive better fuel economy.  I just don't know why someone would buy this car or a similarly price Honda Accord which is like a luxury car compared to the Altima.",2
51, on 03/03/17 11:16 AM (PST),Mike ,2016 Nissan Altima  2.5 SL 4dr Sedan (2.5L 4cyl CVT),rust above emblems, Watch out for rust above the emblems on Altimas. My 2014 Altima SL was rusting above the emblems in the first year and had rust severe enough that it was noticeable from a distance within 3 years.  Reading online it seems to be a common problem.  Dealers won't help and Nissan won't help.,2
